Run,age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,mouse_status,Organism,Platform,ReleaseDate,Sample Name,sex,source_name,SRA Study,strain_background,Tissue
SRR6652389,P45,RNA-Seq,138,1640113302,PRJNA432094,SAMN08434848,546506324,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629940,GSM2970804,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (Control),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970804,male,Striatum_control 5,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652390,P45,RNA-Seq,138,3177740628,PRJNA432094,SAMN08434848,1044276652,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629940,GSM2970804,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (Control),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970804,male,Striatum_control 5,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652391,P45,RNA-Seq,138,1818641970,PRJNA432094,SAMN08434847,613847944,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629941,GSM2970805,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (Control),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970805,male,Striatum_control 4,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652392,P45,RNA-Seq,138,1916987256,PRJNA432094,SAMN08434847,647734607,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629941,GSM2970805,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (Control),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970805,male,Striatum_control 4,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652393,P45,RNA-Seq,138,1068759492,PRJNA432094,SAMN08434846,388129714,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629942,GSM2970806,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (ASD),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970806,male,Striatum_ASD 17,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652394,P45,RNA-Seq,138,1944201270,PRJNA432094,SAMN08434846,680654500,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629942,GSM2970806,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (ASD),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970806,male,Striatum_ASD 17,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652395,P45,RNA-Seq,138,1198332660,PRJNA432094,SAMN08434845,403886964,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629943,GSM2970807,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (ASD),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970807,male,Striatum_ASD 9,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652396,P45,RNA-Seq,138,2172859818,PRJNA432094,SAMN08434845,718705514,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629943,GSM2970807,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (ASD),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970807,male,Striatum_ASD 9,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652397,P45,RNA-Seq,138,2475364926,PRJNA432094,SAMN08434844,813997989,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629944,GSM2970808,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (Control),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970808,male,Striatum_control 1,SRP131764,C57BL/6J,macro-dissected Striatum
SRR6652398,P45,RNA-Seq,138,2611629438,PRJNA432094,SAMN08434844,858214804,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3629944,GSM2970808,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,colonized with Human feces (Control),Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2970808,male,Striatum_control 1,SRP131764,C57BL/6J,macro-dissected Striatum
